case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
179,freq_mod_switch,ideal,10.0,FSK,FM,20000.0,True,True,True,False,False,False,4.0,2,24
180,freq_mod_switch,ideal,10.0,FSK,FM,50000.0,True,True,True,False,False,False,4.0,2,24
181,mod_switch_same_freq,ideal,10.0,FSK,ASK,0.0,True,True,True,False,False,False,4.0,3,14
182,freq_mod_switch,ideal,10.0,FSK,ASK,10000.0,True,True,True,False,False,False,4.0,3,14
183,freq_mod_switch,ideal,10.0,FSK,ASK,-10000.0,True,True,True,False,False,False,4.0,2,6
184,freq_mod_switch,ideal,10.0,FSK,ASK,20000.0,True,True,True,False,False,False,4.0,2,6
185,freq_mod_switch,ideal,10.0,FSK,ASK,50000.0,True,True,True,False,False,False,4.0,2,6
186,mod_switch_same_freq,ideal,10.0,FSK,PSK,0.0,True,True,True,False,False,False,8.0,2,24
187,freq_mod_switch,ideal,10.0,FSK,PSK,10000.0,True,False,False,False,True,False,nan,0,0
188,freq_mod_switch,ideal,10.0,FSK,PSK,-10000.0,True,False,False,False,True,False,nan,0,0
189,freq_mod_switch,ideal,10.0,FSK,PSK,20000.0,True,False,False,False,True,False,nan,0,0
190,freq_mod_switch,ideal,10.0,FSK,PSK,50000.0,True,False,False,False,True,False,nan,0,0
191,mod_switch_same_freq,ideal,10.0,PSK,AM,0.0,True,True,True,False,False,False,4.0,2,20
192,freq_mod_switch,ideal,10.0,PSK,AM,10000.0,True,True,True,False,False,False,4.0,4,21
193,freq_mod_switch,ideal,10.0,PSK,AM,-10000.0,True,True,True,False,False,False,4.0,4,21
194,freq_mod_switch,ideal,10.0,PSK,AM,20000.0,True,True,True,False,False,False,4.0,4,21
195,freq_mod_switch,ideal,10.0,PSK,AM,50000.0,True,True,True,False,False,False,4.0,4,21
196,mod_switch_same_freq,ideal,10.0,PSK,FM,0.0,True,True,True,False,False,False,4.0,2,24
197,freq_mod_switch,ideal,10.0,PSK,FM,10000.0,True,True,True,False,False,False,4.0,4,25
198,freq_mod_switch,ideal,10.0,PSK,FM,-10000.0,True,True,True,False,False,False,4.0,4,25
199,freq_mod_switch,ideal,10.0,PSK,FM,20000.0,True,True,True,False,False,False,4.0,4,25
200,freq_mod_switch,ideal,10.0,PSK,FM,50000.0,True,True,True,False,False,False,4.0,4,25
201,mod_switch_same_freq,ideal,10.0,PSK,ASK,0.0,True,True,True,False,False,False,4.0,2,6
202,freq_mod_switch,ideal,10.0,PSK,ASK,10000.0,True,True,True,False,False,False,4.0,4,7
203,freq_mod_switch,ideal,10.0,PSK,ASK,-10000.0,True,True,True,False,False,False,4.0,4,7
204,freq_mod_switch,ideal,10.0,PSK,ASK,20000.0,True,True,True,False,False,False,4.0,5,15
205,freq_mod_switch,ideal,10.0,PSK,ASK,50000.0,True,True,True,False,False,False,4.0,4,7
206,mod_switch_same_freq,ideal,10.0,PSK,FSK,0.0,True,True,True,False,False,False,5.999999999999998,3,9
207,freq_mod_switch,ideal,10.0,PSK,FSK,10000.0,True,True,True,False,False,False,4.0,3,9
208,freq_mod_switch,ideal,10.0,PSK,FSK,-10000.0,True,True,True,False,False,False,4.0,2,1
209,freq_mod_switch,ideal,10.0,PSK,FSK,20000.0,True,True,True,False,False,False,4.0,2,1
210,freq_mod_switch,ideal,10.0,PSK,FSK,50000.0,True,True,True,False,False,False,4.0,2,1
211,no_change,board_like_normal,20.0,AM,AM,0.0,False,False,False,False,False,False,nan,0,0
